workerid,proliferate.condition,Browser,OS,screenH,screenW,error
100,condition1,Chrome,Windows,1920,1080,
110,condition1,Firefox,Windows,720,1280,
109,condition1,Chrome,Windows,1080,1920,
104,condition1,Chrome,Mac,900,1440,
113,condition1,Chrome,Linux,740,360,
88,condition1,Chrome,Mac,900,1440,
106,condition1,Chrome,Windows,1080,1920,
56,condition1,Chrome,Windows,1080,1920,
97,condition1,Chrome,Windows,1080,1920,
86,condition1,Chrome,Windows,1080,1920,
111,condition1,Chrome,Linux,915,412,
91,condition1,Chrome,Windows,900,1600,
112,condition1,Firefox,Windows,1080,1920,
92,condition1,Chrome,Mac,1200,1920,
94,condition1,Chrome,Windows,768,1366,
85,condition1,Chrome,Mac,800,1280,
114,condition1,Chrome,Windows,720,1280,
93,condition1,Chrome,Windows,1080,1920,
87,condition1,Firefox,Windows,1024,1280,
98,condition1,Chrome,Windows,900,1600,
101,condition1,Chrome,Windows,768,1366,
96,condition1,Firefox,Windows,900,1600,
103,condition1,Chrome,Windows,768,1366,
118,condition1,Chrome,Linux,768,1024,
90,condition1,Chrome,Windows,1080,1920,
95,condition1,Chrome,Windows,768,1366,
102,condition1,Firefox,Mac,900,1440,
107,condition1,Chrome,Windows,1080,1920,
108,condition1,Firefox,Mac,900,1440,
99,condition1,Chrome,Windows,768,1366,
