workerid,proliferate.condition,age,asses,comments,education,enjoyment,gender,language,error
973,condition1,27,Yes,,4,1,Female,Turkce,
968,condition1,37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,
971,condition1,21,Yes,Size bir tavsiyem (for future studies); deney uzundu ve control amacli soru sormadiniz. Bu size dezavantaj yapar... ,2,1,Female,Hollandaca,
936,condition1,20,Yes,Deney kafa karitiriciydi. Daha net oluna bilirdi,1,0,Female,Azerice,
955,condition1,24,Yes,,3,1,Male,Türkçe,
951,condition1,33,Yes,,3,1,Female,Turkce,
941,condition1,32,Yes,,4,1,Female,Türkçe,
954,condition1,31,Yes,,4,2,Male,Türkçe,
966,condition1,,,,-1,-1,,,
962,condition1,37,Yes,Teşekkürler,4,1,Male,Türkçe,
910,condition1,32,Yes,,3,1,Male,türkçe,
953,condition1,25,Yes,"cok fazla tekrar soru vardi, test icin sorulmasi normal sorular ama ayni soruya 7-8 kereden fazla cevap vermek fazla olabilir",4,0,Male,turkce,
952,condition1,33,Yes,,4,1,Female,Turkce,
949,condition1,20,Yes,,2,2,Male,Turkce,
945,condition1,46,Yes,Düşündürücü,1,1,Female,Türkce,
969,condition1,32,Yes,,4,1,Male,Türkçe,
944,condition1,34,No,,3,1,Male,Turkce,
950,condition1,27,No,Genellikle kullandığım şekilde tercih ettim.,4,1,Male,Türkçe,
967,condition1,30,Yes,,4,1,Male,Turkce,
972,condition1,27,Yes,,-1,-1,Female,türkçe,
946,condition1,38,Yes,Deneyin güzel kurgulandığını düşünüyorum.,4,2,Male,TÜRKÇE,
939,condition1,33,Yes,soyut sıfatlardansa fiziksel tanımlama yapan sıfatların nesnelerin hemen önünde kullanılması kulağa daha doğal geliyor.,3,1,Male,Türkçe,
961,condition1,,Yes,,-1,-1,,,
963,condition1,28,Yes,Genel olarak bir yorumum yok.,3,1,Male,Türkçe,
959,condition1,33,Yes,cumle icinde ve konusma sirasindaki tanimlamalarla degisebilecek cevaplar iceren bir deneydi. ,4,1,Male,turkce,
965,condition1,46,Yes,,3,1,Female,Turkce,
935,condition1,24,Yes,,4,1,Female,Türkçe,
956,condition1,34,Yes,GOOD LUCK,4,1,Female,Turkce,
933,condition1,32,Yes,,3,1,Female,Turkce,
937,condition1,26,Yes,,4,1,Male,Turkce,
970,condition1,56,Yes,"Prolific'in en azindan minimum odeme miktari standardina uymanizi temenni ederim. (Tanitim sayfasinda gordugum miktar bunun altindaydi.)

Calismanizda basarilar dilerim. ",3,0,Male,Turkce,
